,Titulo,Enlace URL
0,SUSCRÍBASE,https://suscripciones.larepublica.co/
2,FINANZAS,https://www.larepublica.co/finanzas
3,ECONOMÍA,https://www.larepublica.co/economia
4,EMPRESAS,https://www.larepublica.co/empresas
5,OCIO,https://www.larepublica.co/ocio
6,GLOBOECONOMÍA,https://www.larepublica.co/globoeconomia
7,AGRONEGOCIOS,https://www.agronegocios.co
8,ANÁLISIS,https://www.larepublica.co/analisis
9,ASUNTOS LEGALES,https://www.asuntoslegales.com.co
10,CAJA FUERTE,https://www.larepublica.co/caja-fuerte
11,INDICADORES,https://www.larepublica.co/indicadores-economicos
12,INSIDE,https://www.larepublica.co/inside
13,Corficolombiana,https://www.larepublica.co/corficolombiana
14,Finagro,https://www.larepublica.co/finagro
15,Agro,https://www.larepublica.co/agro
16,Construcción,https://www.larepublica.co/construccion
17,Expo Agrofuturo,https://www.larepublica.co/expo-agrofuturo
18,Carros más vendidos,https://www.larepublica.co/carros-mas-vendidos
19,Reforma laboral 2023,https://www.larepublica.co/reforma-laboral-2023
20,Gasolina,https://www.larepublica.co/gasolina
22,FINANZAS,https://www.larepublica.co/finanzas
23,ECONOMÍA,https://www.larepublica.co/economia
24,EMPRESAS,https://www.larepublica.co/empresas
25,OCIO,https://www.larepublica.co/ocio
26,GLOBOECONOMÍA,https://www.larepublica.co/globoeconomia
27,AGRONEGOCIOS,https://www.agronegocios.co
28,ANÁLISIS,https://www.larepublica.co/analisis
29,ASUNTOS LEGALES,https://www.asuntoslegales.com.co
30,CAJA FUERTE,https://www.larepublica.co/caja-fuerte
31,INDICADORES,https://www.larepublica.co/indicadores-economicos
32,INSIDE,https://www.larepublica.co/inside
38,FINANZAS,https://www.larepublica.co/finanzas
39,ECONOMÍA,https://www.larepublica.co/economia
40,EMPRESAS,https://www.larepublica.co/empresas
41,OCIO,https://www.larepublica.co/ocio
42,GLOBOECONOMÍA,https://www.larepublica.co/globoeconomia
43,AGRONEGOCIOS,https://www.agronegocios.co
44,ANÁLISIS,https://www.larepublica.co/analisis
45,ASUNTOS LEGALES,https://www.asuntoslegales.com.co
46,CAJA FUERTE,https://www.larepublica.co/caja-fuerte
47,CONSUMO,https://www.larepublica.co/consumo
48,ALTA GERENCIA,https://www.larepublica.co/alta-gerencia
49,FINANZAS PERSONALES,https://www.larepublica.co/finanzas-personales
50,INFRAESTRUCTURA,https://www.larepublica.co/infraestructura
51,INTERNET ECONOMY,https://www.larepublica.co/internet-economy
52,RESPONSABILIDAD SOCIAL,https://www.larepublica.co/responsabilidad-social
53,SALUD EJECUTIVA,https://www.larepublica.co/salud-ejecutiva
54,EVENTOS,https://www.larepublica.co/foros
55,ESPECIALES,https://www.larepublica.co/especiales
56,COMUNIDAD EMPRESARIAL,https://www.larepublica.co/comunidad-empresarial
57,SOCIALES,https://www.larepublica.co/sociales
58,INDICADORES,https://www.larepublica.co/indicadores-economicos
59,INSIDE,https://www.larepublica.co/inside
60,PODCAST,https://www.larepublica.co/podcast
61,VIDEOS,https://www.larepublica.co/videos
62,OBITUARIOS,https://www.larepublica.co/obituarios
63,#DomingoEconómico,
65,Turismo,https://www.larepublica.co/ocio/estos-son-los-15-peores-lugares-para-un-turista-segun-lexie-alford-y-espana-3694969
66,"El ranking mundial que clasificó a los ""peores"" lugares para los turistas",https://www.larepublica.co/ocio/estos-son-los-15-peores-lugares-para-un-turista-segun-lexie-alford-y-espana-3694969
68,Profesiones que se crearon como efecto de la inteligencia artificial,https://www.larepublica.co/empresas/profesiones-que-se-crearon-como-efecto-de-la-inteligencia-artificial-3694974
70,¿Cuántas personas en el mundo lograron tener más de US$1 millón?,https://www.larepublica.co/globoeconomia/poblacion-millonaria-del-mundo-3694996
72,Las finanzas de los equipos que están en semifinal de la Libertadores,https://www.larepublica.co/ocio/las-finanzas-de-los-equipos-que-estan-en-semifinal-de-la-libertadores-3694982
74,Lugares a los que apuntan estudiantes colombianos para migrar,https://www.larepublica.co/economia/canada-australia-y-ee-uu-como-los-destinos-frecuentes-para-estudiantes-colombianos-3694989
76,Restaurantes vegetarianos o veganos que más buscan en Tripadvisor,https://www.larepublica.co/ocio/los-restaurantes-vegetarianos-que-mas-buscan-en-tripadvisor-3694968
78,Mejores lugares para trabajar en Colombia según Great Place to Work,https://www.larepublica.co/empresas/mejores-lugares-para-trabajar-en-colombia-segun-great-place-to-work-3694984
80,Turismo,https://www.larepublica.co/economia/los-visitantes-no-residentes-en-julio-fueron-494-607-y-aumentaron-12-6-contra-2022-3694489
81,"Los visitantes no residentes en julio fueron 494.607 y aumentaron 12,6 % contra 2022",https://www.larepublica.co/economia/los-visitantes-no-residentes-en-julio-fueron-494-607-y-aumentaron-12-6-contra-2022-3694489
82,VER MÁS DE TRM,https://www.larepublica.co/indicadores-economicos/mercado-cambiario/dolar
83,VER MÁS DE TASA DE INTERVENCIÓN DE POLÍTICA MONETARIA,https://www.larepublica.co/indicadores-economicos/macro/tasa-de-intervencion-de-politica-monetaria
84,VER MÁS DE PETRÓLEO BRENT,https://www.larepublica.co/indicadores-economicos/commodities/petroleo
86,Ambiente,https://www.larepublica.co/globoeconomia/el-fmi-alerta-que-grandes-inversionistas-no-han-medido-riesgos-del-cambio-climatico-3695043
87,El FMI alerta que grandes inversionistas no han medido riesgos del cambio climático,https://www.larepublica.co/globoeconomia/el-fmi-alerta-que-grandes-inversionistas-no-han-medido-riesgos-del-cambio-climatico-3695043
89,Comercio,https://www.larepublica.co/globoeconomia/los-precios-de-los-diamantes-estan-en-caida-libre-en-una-esquina-clave-del-mercado-3695053
92,Entretenimiento,https://www.larepublica.co/ocio/no-sabe-que-ver-en-su-servicio-de-streaming-esta-es-una-de-las-principales-razones-3694955
93,¿No sabe qué ver en su servicio de streaming? Esta es una de las principales razones,https://www.larepublica.co/ocio/no-sabe-que-ver-en-su-servicio-de-streaming-esta-es-una-de-las-principales-razones-3694955
95,Estados Unidos,https://www.larepublica.co/globoeconomia/encuesta-de-septiembre-de-2023-para-la-presidencia-de-estados-unidos-en-2024-3694929
96,Trump avanza como la primera opción para los republicanos según encuesta de WSJ,https://www.larepublica.co/globoeconomia/encuesta-de-septiembre-de-2023-para-la-presidencia-de-estados-unidos-en-2024-3694929
98,Energía,https://www.larepublica.co/economia/embalses-de-generacion-de-energia-estan-en-80-pero-el-kilovatio-se-acerca-a-1-000-3694957
99,Embalses de generación de energía están en 80% pero el kilovatio se acerca a $1.000,https://www.larepublica.co/economia/embalses-de-generacion-de-energia-estan-en-80-pero-el-kilovatio-se-acerca-a-1-000-3694957
101,Francia,https://www.larepublica.co/globoeconomia/francia-planea-prohibir-cigarrillos-electronicos-desechables-por-aumento-de-fumadores-3695037
